batsman,total_runs
V Kohli,8014
S Dhawan,6769
RG Sharma,6630
DA Warner,6567
SK Raina,5536
MS Dhoni,5243
AB de Villiers,5181
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4843
KL Rahul,4689
AM Rahane,4642
F du Plessis,4571
SV Samson,4419
AT Rayudu,4348
