bowler,wickets
YS Chahal,205
PP Chawla,192
DJ Bravo,183
B Kumar,181
SP Narine,180
R Ashwin,180
A Mishra,174
SL Malinga,170
JJ Bumrah,168
RA Jadeja,160
Harbhajan Singh,150
Rashid Khan,149
UT Yadav,144
Sandeep Sharma,137
HV Patel,135
