batsman,total_runs,balls_faced,strike_rate
AB de Villiers,5181,3487,148.58
CH Gayle,4997,3516,142.12
DA Warner,6567,4849,135.43
SV Samson,4419,3270,135.14
F du Plessis,4571,3435,133.07
MS Dhoni,5243,3947,132.84
SK Raina,5536,4177,132.54
KD Karthik,4843,3687,131.35
KL Rahul,4689,3578,131.05
V Kohli,8014,6236,128.51
RG Sharma,6630,5183,127.92
RV Uthappa,4954,3927,126.15
AT Rayudu,4348,3490,124.58
S Dhawan,6769,5483,123.45
AM Rahane,4642,3858,120.32
